M,d,h,m,s,host,src,port,dst,port,protocol,num,if,recv,pkts,bytes,send,pkts,bytes,
Sep,11,15,54,15,vps172160149,172.16.0.55,4363,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
Sep,11,15,54,41,vps172160149,172.16.0.240,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,42,vps172160149,172.16.0.168,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,42,vps172160149,172.16.0.240,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,43,vps172160149,172.16.0.168,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,44,vps172160149,172.16.0.168,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,44,vps172160149,172.16.0.240,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,45,vps172160149,172.16.0.55,4400,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
Sep,11,15,54,45,vps172160149,172.16.0.168,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,45,vps172160149,172.16.0.240,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,46,vps172160149,172.16.0.168,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,46,vps172160149,172.16.0.240,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,47,vps172160149,172.16.0.168,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,54,47,vps172160149,172.16.0.240,0,224.0.0.18,0,unknown,112,eth0,recv,1,40,send,0,0,
Sep,11,15,55,15,vps172160149,172.16.0.129,137,172.16.0.255,137,udp,17,eth0,recv,1,78,send,0,0,
Sep,11,15,55,15,vps172160149,172.16.0.55,4443,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
Sep,11,15,55,25,vps172160149,172.16.1.246,138,172.16.1.255,138,udp,17,eth0,recv,1,267,send,0,0,
Sep,11,15,55,25,vps172160149,172.16.1.246,138,172.16.1.255,138,udp,17,eth0,recv,1,240,send,0,0,
Sep,11,15,55,47,vps172160149,172.16.0.55,4469,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
